audio_length_seconds,avg_mel_freq,std_mel_freq,key_signature,audio_file_id,z_dist_avg_to_tonic,zcr_range,std_diff_beat_times,std_onset_strength,sample_points,avg_diff_beat_times,samplefreq,tonic,avg_zcr,channels,avg_onset_strength,rolloff_freq,tempo_bpm
173.4008,8.1504,75.5179,A Major,1,2.2628,0.32080078125,0.0446,0.2287,3823488,0.7584,22050,A,0.0492,1,0.205,3322.0,80.7495117188
429.6098,1.9191,13.5476,D Minor,2,2.2684,0.6025390625,0.0315,0.2933,9472896,0.5587,22050,D,0.0817,1,0.2638,3474.0,107.666015625
234.9203,11.6487,76.3852,B Minor,3,2.2423,0.78125,0.0151,0.2129,5179992,0.6522,22050,B,0.1209,1,0.1729,5126.0,92.28515625
230.7918,12.9546,94.8666,D Major,4,2.0291,0.6943359375,0.0127,0.2411,5088960,0.4959,22050,D,0.141,1,0.204,6867.0,123.046875
482.8876,1.2565,7.9172,G Minor,5,2.0921,0.5703125,0.0328,0.3206,10647672,0.6098,22050,G,0.099,1,0.2945,3673.0,99.3840144231
222.6667,16.1442,126.0775,Bb Major,6,2.4501,0.56640625,0.0135,0.2162,4909800,0.6667,22050,Bb,0.0904,1,0.1824,6012.0,89.1029094828
271.6933,6.8416,65.6036,D Minor,7,2.3433,0.58349609375,0.0178,0.2056,5990838,0.5431,22050,D,0.1249,1,0.163,6294.0,112.347146739
127.0,1.4901,16.3495,F Major,8,2.4247,0.83349609375,0.0259,0.2248,2800350,0.6223,22050,F,0.0736,1,0.1913,5023.0,95.703125
218.5665,6.8507,74.8877,G Major,9,2.7437,0.5869140625,0.0362,0.208,4819392,0.6587,22050,G,0.0636,1,0.1784,3893.0,92.28515625
308.4667,7.9058,45.3433,B Minor,10,1.899,0.44482421875,0.0203,0.2819,6801690,0.6219,22050,B,0.1473,1,0.2576,5231.0,95.703125
126.3543,6.5004,47.0421,E Major,11,2.0374,0.5068359375,0.0126,0.23,2786112,0.3858,22050,E,0.1369,1,0.2,6811.0,151.999080882
293.0939,10.5687,77.8318,D Major,12,2.2327,0.75048828125,0.014,0.2242,6462720,0.4228,22050,D,0.1234,1,0.1971,7169.0,143.5546875
276.5333,9.6792,63.0655,A Minor,13,1.5256,0.587890625,0.0178,0.2675,6097560,0.6602,22050,A,0.1429,1,0.2388,6269.0,92.28515625
260.4667,9.6964,68.9137,E Major,14,2.0089,0.65478515625,0.0263,0.2169,5743290,0.5135,22050,E,0.1054,1,0.1824,5849.0,117.453835227
286.3815,13.0709,79.0392,C Minor,15,1.9935,0.341796875,0.0131,0.2648,6314712,0.3666,22050,C,0.1071,1,0.2385,4872.0,161.499023438
227.8933,10.1475,117.212,Bb Minor,16,1.8982,0.66552734375,0.0148,0.2311,5025048,0.4849,22050,Bb,0.1263,1,0.2039,6887.0,123.046875
246.3619,15.7126,97.5043,G Major,17,2.4448,0.37548828125,0.0151,0.2594,5432280,0.7313,22050,G,0.0704,1,0.2309,4168.0,83.3543346774
294.4784,11.8422,89.0144,E Minor,18,2.1297,0.48291015625,0.0088,0.202,6493248,0.4166,22050,E,0.0853,1,0.1557,5876.0,143.5546875
277.0667,1.0837,8.5683,A Minor,19,2.0714,0.6875,0.0261,0.2387,6109320,0.6952,22050,A,0.1249,1,0.202,6084.0,86.1328125
219.2457,11.8268,118.0473,D Minor,20,1.7743,0.73583984375,0.0134,0.1988,4834368,0.375,22050,D,0.1317,1,0.1639,6755.0,161.499023438
211.9837,12.1828,183.7725,G Major,21,2.0225,0.70751953125,0.0208,0.1857,4674240,0.7059,22050,G,0.1191,1,0.1561,6164.0,86.1328125
235.1293,9.2977,77.9058,F# Major,22,2.1961,0.5107421875,0.0123,0.2279,5184600,0.3704,22050,F#,0.0949,1,0.1929,5712.0,161.499023438
206.3733,11.1461,106.2297,F Minor,23,2.2619,0.83740234375,0.0113,0.2107,4550532,0.3999,22050,F,0.1295,1,0.1754,7228.0,151.999080882
115.171,2.2598,18.3694,F Minor,24,2.175,0.3701171875,0.0343,0.3437,2539520,0.5489,22050,F,0.087,1,0.3122,4116.0,107.666015625
283.76,9.4301,54.734,C# Minor,25,2.6886,0.55712890625,0.015,0.2544,6256908,0.5773,22050,C#,0.1759,1,0.228,6836.0,103.359375
144.5067,3.5284,27.155,F# Minor,26,1.625,0.56494140625,0.0165,0.2601,3186372,0.4453,22050,F#,0.1152,1,0.231,6800.0,135.999177632
170.064,1.6985,28.1805,B Minor,27,2.6147,0.3330078125,0.0284,0.2997,3749912,0.4723,22050,B,0.0486,1,0.2724,2242.0,129.19921875
374.1518,1.72,41.053,A Minor,28,2.5245,0.6328125,0.0302,0.2638,8250048,0.7461,22050,A,0.064,1,0.2175,3802.0,80.7495117188
